Model_Name,MaskingRate,run_id,loss,alpha
Single-Modal GNN (ST),0.8,2,0.054158516228199005,0.47301422874378735
Single-Modal GNN (ST),0.7,0,0.052127592265605927,0.5104310188620026
Single-Modal GNN (ST),0.7,1,0.051939379423856735,0.3785624916065549
Single-Modal GNN (ST),0.6,0,0.05032936483621597,0.38516878467745774
Single-Modal GNN (ST),0.7,2,0.05189422518014908,0.4369797572541201
Single-Modal GNN (ST),0.6,1,0.050431884825229645,0.4300766576851599
Single-Modal GNN (ST),0.6,2,0.050357989966869354,0.42230955008143456
Single-Modal GNN (ST),0.5,0,0.049029625952243805,0.3605393337742854
Single-Modal GNN (ST),0.5,1,0.04920252412557602,0.3814508774196368
Single-Modal GNN (ST),0.5,2,0.049188654869794846,0.4228568755983863
Single-Modal GNN (ST),0.4,0,0.04805506393313408,0.4304687708558231
Single-Modal GNN (ST),0.4,1,0.04795186594128609,0.36263610844126365
Single-Modal GNN (ST),0.3,1,0.04696469381451607,0.3888850314301023
Single-Modal GNN (ST),0.4,2,0.04802950844168663,0.39985790980989144
Single-Modal GNN (ST),0.3,0,0.04686470329761505,0.433986001547097
Single-Modal GNN (ST),0.3,2,0.046803999692201614,0.3735561896854254
Single-Modal GNN (ST),0.1,0,0.04482660070061684,0.4178310199887258
Single-Modal GNN (ST),0.2,2,0.04586835578083992,0.3461541719885041
Single-Modal GNN (ST),0.2,1,0.04587085545063019,0.37293794034296734
Single-Modal GNN (ST),0.2,0,0.04575404152274132,0.4454495410784135
Single-Modal GNN (ST),0.1,1,0.04487091302871704,0.3314395464117386
Single-Modal GNN (ST),0.0,1,0.04370192438364029,0.28556695598208764
Single-Modal GNN (ST),0.0,0,0.043409980833530426,0.39119990561395407
Single-Modal GNN (ST),0.0,2,0.042945969849824905,0.3083652924157345
Single-Modal GNN (ST),0.1,2,0.04465300962328911,0.3690247596867718
